Division,Gender,Base Salary
DS MCCF Unit 3 Security,M,51474
DS MCCF Unit 3 Security,M,51474
DS Health Services,F,76699.47
DS MCCF Unit 3 Security,M,51474
DS MCCF Unit 1 Security,F,49022
PRRS Facility and Security,M,49522.56
DS MCCF Unit 2 Security,M,51474
DS MCCF Unit 2 Security,M,51474
DS MCCF Unit 2 Security,M,51474
PTS Alternative Community Services,F,38681.18
DS MCCF Unit 1 Security,M,51474
DS MCCF Unit 3 Security,M,51474
DS MCCF Unit 2 Security,F,51474
PRRS Facility and Security,M,49522.56
DS Health Services,M,89760
DS MCCF Unit 2 Security,M,49022
DS MCCF Unit 2 Security,M,49022
DS MCCF Unit 3 Security,M,51474
DS MCCF Unit 2 Security,M,49522.56
DS MCCF Unit 3 Security,M,47362
DS MCCF Unit 2 Security,F,46320
DS MCCF Unit 3 Security,M,51474
DS Health Services,F,84065.74
DS Health Services,F,103272.5
DS Health Services,F,71845.96
DS MCCF Unit 3 Security,M,47362
DS MCCF Unit 3 Security,M,46320
DS Health Services,F,73379.71
PRRS Facility and Security,F,58817.27
DS MCCF Unit 3 Security,M,46320
DS MCCF Unit 1 Security,M,47362
DS MCCF Unit 2 Security,M,47362
DS MCCF Unit 2 Security,M,47362
PRRS Facility and Security,F,47848
DS MCCF Unit 3 Security,M,47362
DS MCCF Unit 2 Security,F,46320
DS MCCF Unit 1 Security,M,46320
PRRS Facility and Security,F,47848
DS MCCF Unit 3 Security,F,46320
DS Health Services,F,71932.88
DS MCCF Unit 1 Security,M,47362
DS MCCF Unit 2 Security,M,46320
DS Inmate Records,F,45750
DS MCCF Unit 2 Security,M,46320
DS MCCF Unit 3 Security,M,46320
DS MCCF Unit 1 Security,M,47362
PRRS Facility and Security,F,47848
DS MCCF Unit 3 Security,F,47362
DS MCCF Unit 1 Security,M,47362
DS MCCF Unit 3 Security,M,47362
DS MCCF Unit 1 Security,F,47362
DS MCCF Unit 3 Security,M,47362
DS MCCF Unit 1 Security,F,47362
DS MCCF Unit 1 Security,M,47362
DS MCCF Unit 3 Security,M,47362
DS MCCF Unit 1 Security,M,46320
PTS Intervention Program for Substance Abusers,F,37830
DS MCCF Unit 1 Security,M,46320
DS MCCF Unit 3 Security,M,47362
DS MCCF Unit 1 Security,M,47362
PTS Assessment,M,57413.38
PRRS Reentry Services and Programs,M,63155
DS MCCF Unit 3 Security,M,47362
DS MCCF Unit 2 Security,M,47362
DS MCCF Unit 1 Security,M,47362
DS MCCF Unit 3 Security,M,47362
DS MCCF Unit 3 Security,F,47362
DS MCCF Unit 3 Security,M,47362
DS MCCF Unit 2 Security,M,47362
DS MCDC Custody and Security,F,47362
MSD Information Technology,F,102556.75
DS MCDC Custody and Security,M,47362
PTS Assessment,F,79755
DS MCCF Unit 3 Security,F,47362
DS MCCF Unit 3 Security,M,47362
DS Food Services,F,45750
DS MCCF Unit 3 Security,F,47362
DS MCCF Unit 2 Security,M,47362
DS MCCF Unit 2 Security,M,47362
DS Food Services,F,45750
PTS Intervention Program for Substance Abusers,F,38681.18
DS Health Services,F,38681.18
DS MCCF Unit 3 Security,M,47362
Finance and Administrative Support Team,F,90409.64
Finance and Administrative Support Team,F,67444.66
Finance and Administrative Support Team,F,141386.81
Finance and Administrative Support Team,M,126584
Director,F,187233
Core Services Team,F,78902
Finance and Administrative Support Team,F,71852
Core Services Team,F,78902
Core Services Team,M,129633.79
Core Services Team,F,78902
Core Services Team,F,81223.28
Core Services Team,F,69403.1
Core Services Team,F,78902
Core Services Team,M,81203.15
Core Services Team,F,73918.05
Silver Spring Civic Building,M,118846.12
Silver Spring Civic Building,F,78800.32
Core Services Team,F,89440.84
Silver Spring Civic Building,M,49848.99
Finance and Administrative Support Team,F,69381.75
Finance and Administrative Support Team,M,94939.72
Core Services Team,M,75051.16
Core Services Team,F,70564.72
Finance and Administrative Support Team,M,81508.28
Silver Spring Civic Building,M,62824.15
Community Use of Public Facilities,F,28353.84
Core Services Team,F,62676.84
Finance and Administrative Support Team,M,87412.4
Core Services Team,M,78902
Community Use of Public Facilities,F,57809.08
Resource Conversion,F,78902
Waste Reduction and Recycling,F,144751
Solid Waste Services Administration,M,109761
Administration and Operations,F,90848
MSD Management Services Division,F,71852
Administration and Operations,F,99852
Solid Waste Services Administration,M,89872.02
Materials Management,M,120703
Recycling and Refuse Services,F,78902
Resource Conversion,F,109761
Design and Construction,M,144751
Resource Conversion,M,107346
Stormwater BMP Inspection and Maintenance,F,68893
Recycling and Refuse Services,F,128580.82
Administration and Operations,M,109761
Administration and Operations,F,99852
"Planning, Outreach and Monitoring",F,130827.01
"Energy, Climate and Compliance Division",M,167345
Recycling and Refuse Services,F,78902
Solid Waste Services Administration,F,126584
Solid Waste Services Administration,F,71852
Recycling and Refuse Services,M,109761
Waste Reduction and Recycling,M,109761
Solid Waste Services Administration,F,99852
Administration and Operations,F,109761
Watershed Restoration and Capital Projects,M,99852
Intergovernmental Affairs,M,160003.96
Resource Conversion,M,109761
Solid Waste Services Administration,M,144751
Low-Impact Development,F,109761
Recycling and Refuse Services,F,90848
Resource Conversion,M,62488
Design and Construction,M,120703
Stormwater BMP Inspection and Maintenance,M,99852
Office of Energy and Climate,M,109761
Stormwater BMP Inspection and Maintenance,M,99852
"Planning, Outreach and Monitoring",M,99594.04
Resource Conversion,M,86669
Waste Reduction and Recycling,M,90848
Office of Energy and Climate,F,109761
"Planning, Outreach and Monitoring",F,99852
Environmental Compliance Group,M,100718.58
Administration and Operations,F,78902
Resource Conversion,M,99852
Intergovernmental Affairs,M,120703
Waste Reduction and Recycling,M,90848
Resource Conversion,M,109761
Recycling and Refuse Services,M,90848
Resource Conversion,F,62488
"Planning, Outreach and Monitoring",M,90931.18
Stormwater BMP Inspection and Maintenance,F,99852
Administration and Operations,F,109761
Recycling and Refuse Services,M,48463.66
Materials Management,F,109761
Recycling and Refuse Services,M,90848
Stormwater BMP Inspection and Maintenance,M,99852
Solid Waste Services Administration,F,92310.31
Recycling and Refuse Services,M,90848
Watershed Restoration and Capital Projects,F,99743.4
Waste Reduction and Recycling,F,78902
"Planning, Outreach and Monitoring",M,79526.59
Stormwater BMP Inspection and Maintenance,M,97655
Resource Conversion,M,75290
Recycling and Refuse Services,F,89872.02
Stormwater BMP Inspection and Maintenance,M,120703
Recycling and Refuse Services,F,64602.35
Stormwater BMP Inspection and Maintenance,M,109761
"Planning, Outreach and Monitoring",M,95236
Resource Conversion,M,75290
Office of Energy and Climate,F,97655
Stormwater BMP Inspection and Maintenance,M,109761
Resource Conversion,M,86669
Stormwater BMP Inspection and Maintenance,M,99852
Environmental Compliance Group,M,87092.77
Environmental Compliance Group,M,115099
Waste Reduction and Recycling,M,90848
"Planning, Outreach and Monitoring",M,95236
Watershed Restoration and Capital Projects,F,76897.62
Intergovernmental Affairs,M,109761
Watershed Restoration and Capital Projects,M,120703
Recycling and Refuse Services,M,90848
Resource Conversion,F,62488
Recycling and Refuse Services,M,109761
Recycling and Refuse Services,F,90848
Solid Waste Services Administration,F,99852
Stormwater BMP Inspection and Maintenance,F,132062.51
"Planning, Outreach and Monitoring",M,95236
Administration and Operations,F,144751
"Planning, Outreach and Monitoring",F,95092.5
Recycling and Refuse Services,M,90848
Environmental Compliance Group,M,84762
Watershed Restoration and Capital Projects,M,95236
Recycling and Refuse Services,M,90848
Resource Conversion,M,59799.69
Materials Management,M,120703
Environmental Compliance Group,F,82851.58
Stormwater BMP Inspection and Maintenance,F,109761
Stormwater BMP Inspection and Maintenance,M,99852
Administration and Operations,F,88221.83
Administration and Operations,M,76699.41
Watershed Restoration and Capital Projects,M,98568.87
Administration and Operations,F,74274.84
Low-Impact Development,M,95092.5
"Planning, Outreach and Monitoring",M,91343.01
Environmental Compliance Group,F,74725.46
Resource Conversion,M,112263.14
Design and Construction,M,97949.58
Office of Energy and Climate,F,92283.37
Office of Energy and Climate,F,106686.08
Recycling and Refuse Services,F,89332.3
Waste Reduction and Recycling,M,69212.54
Waste Reduction and Recycling,F,87366.55
Waste Reduction and Recycling,M,106638.63
Administration and Operations,F,91917.49
Resource Conversion,F,48536.05
Waste Reduction and Recycling,M,21874
Low-Impact Development,M,53758.57
Stormwater BMP Inspection and Maintenance,F,106441.99
Watershed Restoration and Capital Projects,M,106173.19
Low-Impact Development,F,90165.94
Recycling and Refuse Services,M,89872.02
Resource Conversion,M,80489.13
Design and Construction,M,120104.91
Waste Reduction and Recycling,F,71112.69
Office of Energy and Climate,F,103461.13
Resource Conversion,M,72046.3
Waste Reduction and Recycling,F,71882.94
Administration and Operations,F,187038.11
Watershed Restoration Division,M,162143.54
Design and Construction,M,83271.05
Office of Energy and Climate,F,83390.17
Design and Construction,M,80011.89
Resource Conversion,F,54526.62
Intergovernmental Affairs,M,97792.32
Solid Waste Services Administration,M,112135.18
Resource Conversion,M,139721.68
Solid Waste Services Administration,F,107804.15
Administration and Operations,M,102297.33
Watershed Restoration and Capital Projects,F,72135.34
Stormwater BMP Inspection and Maintenance,F,99309.7
"Planning, Outreach and Monitoring",F,109761
Resource Conversion,F,40800
Solid Waste Services Administration,M,167345
Recycling and Refuse Services,F,73942.55
Solid Waste Services Administration,M,84197.35
Recycling and Refuse Services,M,90848
Recycling and Refuse Services,M,89332.3
Waste Reduction and Recycling,F,78902
Waste Reduction and Recycling,F,73402.82
Resource Conversion,F,71243.91
Waste Reduction and Recycling,F,68573.96
Director,M,190000
Materials Management,F,86000
Materials Management,M,124745
Resource Conversion,M,40000
Low-Impact Development,M,99852
Low-Impact Development,F,99852
Stormwater BMP Inspection and Maintenance,M,76687.5
Stormwater BMP Inspection and Maintenance,F,76687.5
Watershed Restoration Division,M,79346
Resource Conversion,F,79755
Waste Reduction and Recycling,F,76000
Stormwater BMP Inspection and Maintenance,M,61350
Recycling and Resource Management Division,F,65440
Office of Energy and Climate,F,86912.5
Fleet Management Services,M,115099
Fleet Management Services,F,71852
Fleet Management Services,F,106690.79
Real Estate Office,F,144751
County Executive's Office,F,95184.08
Building Design and Construction,F,126584
Building Design and Construction,F,126584
Fleet Management Fleet Services,M,134880.55
Real Estate Office,F,78902
Fleet Management Fleet Services,M,137263.62
Administration and Budget,F,105413.91
Contracting and Accounts Payable,F,88849
Central Duplicating,M,56967
Fleet Management Administration,M,86669
Building Design and Construction,M,126584
Building Design and Construction,M,126584
Fleet Management Services,F,71743.03
Contracting and Accounts Payable,M,71852
Central Duplicating,M,129922.62
Fleet Management Services,F,99852
Contracting and Accounts Payable,M,90848
Property Management,M,104680
Building Design and Construction,F,71852
Central Services,F,167345
Fleet Management Administration,F,75290
Building Design and Construction,F,144751
Director,M,210143
Real Estate Office,F,71852
Building Design and Construction,M,126584
Building Design and Construction,M,126584
Contracting and Accounts Payable,M,166175.56
Fleet Management Services,F,144654.81
Building Design and Construction,M,126584
Facilities Maintenance,M,95236
Building Design and Construction,F,126584
Building Design and Construction,M,144702.16
Building Design and Construction,M,139818.7
Fleet Automotive Heavy Equipment,F,90754.16
Building Design and Construction,F,120703
Facilities Major Programs,M,99852
Planning and Development,F,167340.53
Facilities Major Programs,M,90848
Facilities Major Programs,M,120703
Fleet Management Contract Services,F,109761
Facilities Major Programs,M,123799
Building Design and Construction,F,126584
Building Design and Construction,M,120703
Building Design and Construction,M,120703
Building Design and Construction,M,126584
Fleet Management Services,F,71852
Fleet Management Services,M,69281.95
Building Design and Construction,M,144751
Fleet Automotive Heavy Equipment,M,136428.66
Building Design and Construction,M,126584
Building Design and Construction,F,120703
Administration and Budget,F,90848
Fleet Automotive Heavy Equipment,F,74412.94
Fleet Management Services,M,59644.93
Facilities,M,75290
Building Design and Construction,M,144751
Building Design and Construction,M,167345
Building Design and Construction,M,144751
Fleet Management Administration,M,99852
Facilities Major Programs,M,120703
Facilities Maintenance,M,82691
Facilities Maintenance,M,82691
Facilities Major Programs,M,86669
Facilities Maintenance,M,82691
ADA Compliance,M,87847.88
Fleet Automotive Heavy Equipment,M,64993.67
Fleet Management Fleet Services,M,82691
Facilities,M,98209.01
Building Design and Construction,M,126584
Fleet Management Services,M,69281.95
Facilities Maintenance,M,68575
Facilities Maintenance,M,78902
Facilities Maintenance,M,82691
Fleet Automotive Heavy Equipment,M,104680
Fleet Automotive Heavy Equipment,M,95236
Facilities Maintenance,M,68575
Facilities,F,90848
Fleet Management Fleet Services,M,82691
Fleet Automotive Heavy Equipment,M,82691
Fleet Management Fleet Services,M,82691
Central Duplicating,M,71852
Automation,M,139242.93
Fleet Management Services,M,109761
Fleet Management Fleet Services,M,92670.76
Energy and Sustainability,M,133698.83
Fleet Management Fleet Services,M,82691
Fleet Management Fleet Services,M,82691
Fleet Automotive Heavy Equipment,M,82691
Facilities Maintenance,M,82691
Facilities,M,166175.56
Fleet Management Fleet Services,M,82691
Facilities Maintenance,F,49681
Facilities Maintenance,F,43848.94
Fleet Automotive Heavy Equipment,M,82691
Building Design and Construction,M,97655
Facilities Maintenance,M,95236
Facilities Maintenance,M,68575
Fleet Management Fleet Services,M,82691
Fleet Management Fleet Services,M,82691
Central Duplicating,M,84762
Fleet Automotive Heavy Equipment,M,82691
Fleet Automotive Heavy Equipment,M,82691
Fleet Management Services,M,69281.92
Fleet Management Services,M,69281.92
Fleet Management Fleet Services,M,82691
Fleet Management Fleet Services,M,82691
Building Design and Construction,M,99852
Fleet Automotive Heavy Equipment,M,82691
Fleet Management Fleet Services,M,79584.06
Fleet Automotive Heavy Equipment,M,82691
Facilities Maintenance,F,48905.84
Facilities Maintenance,F,49681
Facilities Maintenance,M,68575
Fleet Automotive Heavy Equipment,M,82691
Fleet Management Fleet Services,M,95236
Purchasing,M,90848
Central Duplicating,M,56967
Facilities Maintenance,M,82691
Fleet Management Services,M,82691
Fleet Management Fleet Services,M,82691
Fleet Management Administration,M,99852
Fleet Management Fleet Services,M,82691
Facilities Maintenance,M,78902
Fleet Management Services,M,69281.95
Fleet Management Administration,M,104680
Fleet Automotive Heavy Equipment,M,80871
Facilities Maintenance,M,49681
Fleet Management Fleet Services,M,82691
Fleet Management Fleet Services,M,80871
Facilities Maintenance,M,82691
Fleet Management Fleet Services,M,82691
